id,category,latitude,longitude,heading
191,gps,51.011514104166665,3.7084331836666666,266.4389
192,gps,51.011514104166665,3.7084331836666666,266.5267
193,gps,51.011508041666666,3.7084322226666666,266.5267
194,gps,51.011508041666666,3.7084322226666666,266.5267
195,gps,51.011508041666666,3.7084322226666666,269.8346
196,gps,51.011503380166666,3.7084323461666666,269.8346
197,gps,51.011503380166666,3.7084323461666666,269.8346
198,gps,51.011503380166666,3.7084323461666666,266.8841
199,gps,51.011496257666664,3.7084321316666666,266.8841
200,gps,51.011496257666664,3.7084321316666666,266.8841
201,gps,51.011496257666664,3.7084321316666666,271.8116
202,gps,51.01149115616667,3.7084317706666665,271.8116
203,gps,51.01149115616667,3.7084317706666665,271.8116
204,gps,51.01149115616667,3.7084317706666665,261.4218
205,gps,51.01148500233333,3.708432084,261.4218
206,gps,51.01148500233333,3.708432084,261.4218
207,gps,51.01148500233333,3.708432084,266.9841
208,gps,51.01148071716667,3.7084308108333333,266.9841
209,gps,51.01148071716667,3.7084308108333333,266.9841
210,gps,51.01148071716667,3.7084308108333333,264.3846
211,gps,51.01147562933333,3.708430776,264.3846
212,gps,51.01147562933333,3.708430776,264.3846
213,gps,51.01147562933333,3.708430776,266.47
214,gps,51.011470027166666,3.7084299263333333,266.47
215,gps,51.011470027166666,3.7084299263333333,266.47
216,gps,51.011470027166666,3.7084299263333333,267.6219
217,gps,51.011464741,3.708429558833333,267.6219
218,gps,51.011464741,3.708429558833333,267.6219
219,gps,51.011464741,3.708429558833333,267.0344
220,gps,51.011459394166664,3.7084287985,267.0344
221,gps,51.011459394166664,3.7084287985,267.0344
222,gps,51.011459394166664,3.7084287985,273.8794
223,gps,51.01145477716667,3.7084281371666665,273.8794
224,gps,51.01145477716667,3.7084281371666665,273.8794
225,gps,51.01145477716667,3.7084281371666665,265.2298
226,gps,51.0114496945,3.7084280401666665,265.2298
227,gps,51.0114496945,3.7084280401666665,265.2298
228,gps,51.0114496945,3.7084280401666665,270.1811
229,gps,51.01144495683333,3.708426053,270.1811
230,gps,51.01144495683333,3.708426053,270.1811
231,gps,51.01144495683333,3.708426053,263.4652
232,gps,51.01143838666667,3.708425991,263.4652
233,gps,51.01143838666667,3.708425991,263.4652
234,gps,51.01143838666667,3.708425991,265.0038
235,gps,51.01143323283333,3.7084256643333333,265.0038
236,gps,51.01143323283333,3.7084256643333333,265.0038
237,gps,51.01143323283333,3.7084256643333333,267.8648
238,gps,51.01142787366667,3.7084259103333332,267.8648
239,gps,51.01142787366667,3.7084259103333332,267.8648
240,gps,51.01142787366667,3.7084259103333332,267.6918
241,gps,51.01142294616667,3.708426464,267.6918
242,gps,51.01142294616667,3.708426464,267.6918
243,gps,51.01142294616667,3.708426464,267.1629
244,gps,51.011418024,3.708426782,267.1629
